,,,,
,Symboles,Formel,Informel,Prog
,e,"0,1210","0,1210","0,0900"
,a,"0,0764","0,0764","0,0550"
,s,"0,0651","0,0651","0,0500"
,i,"0,0639","0,0639","0,0450"
,t,"0,0631","0,0631","0,0550"
,n,"0,0623","0,0623","0,0400"
,r,"0,0607","0,0607","0,0500"
,u,"0,0505","0,0505","0,0350"
,l,"0,0496","0,0496","0,0400"
,o,"0,0466","0,0466","0,0400"
,d,"0,0367","0,0367","0,0250"
,c,"0,0318","0,0318","0,0300"
,p,"0,0292","0,0292","0,0200"
,m,"0,0262","0,0262","0,0180"
,v,"0,0115","0,0115","0,0080"
,q,"0,0099","0,0099","0,0040"
,f,"0,0095","0,0095","0,0100"
,b,"0,0080","0,0080","0,0060"
,g,"0,0077","0,0077","0,0060"
,h,"0,0061","0,0061","0,0050"
,j,"0,0034","0,0034","0,0020"
,x,"0,0030","0,0030","0,0025"
,y,"0,0021","0,0021","0,0020"
,z,"0,0015","0,0015","0,0008"
,w,"0,0011","0,0011","0,0020"
,k,"0,0005","0,0005","0,0015"
,0,"0,0028","0,0028","0,0060"
,1,"0,0032","0,0032","0,0070"
,2,"0,0027","0,0027","0,0050"
,3,"0,0018","0,0018","0,0035"
,4,"0,0014","0,0014","0,0030"
,5,"0,0015","0,0015","0,0030"
,6,"0,0011","0,0011","0,0025"
,7,"0,0011","0,0011","0,0025"
,8,"0,0012","0,0012","0,0025"
,9,"0,0013","0,0013","0,0025"
,.,"0,007936507937","0,008130081301","0,01587301587"
,",","0,008928571429","0,004504504505","0,009259259259"
,-,"0,002617801047","0,002114164905","0,01315789474"
,:,"0,001349527665","0,005025125628","0,009259259259"
,',"0,001183431953","0,004608294931","0,002915451895"
,/,"0,0007800312012","0,009009009009","0,004587155963"
,),"0,001555209953","0,0006317119394","0,01315789474"
,"""","0,0004662004662","0,001865671642","0,009174311927"
,!,"0,0007535795026","0,007194244604","0,0006277463905"
,;,"0,0005757052389","0,000761614623","0,01162790698"
,é,"0,01886792453","0,01086956522","0,0003157562362"
,(,"0,001410437236","0,0003033980583","0,01315789474"
,_,"0,000283446712","0,0008019246191","0,01"
,#,"0,0002103491796","0,01149425287","0,001"
,],"0,000125","0,0003816793893","0,001858736059"
,[,"0,0001","0,0003808073115","0,001858736059"
,&,"0,00009090909091","0,0006901311249","0,0009578544061"
,+,"0,0000625","0,0004926108374","0,001438848921"
,à,"0,003322259136","0,0027100271","0,00004761904762"
,%,"0,0002015316405","0,00005263157895","0,001497005988"
,è,"0,002415458937","0,001564945227","0,00003703703704"
,@,"0,00003846153846","0,006535947712","0,0004389815628"
,̂,"0,000946969697","0,0006191950464","0,00003703703704"
,’,"0,007633587786","0,001305483029","0,00003333333333"
,=,"0,00005","0,00004166666667","0,01041666667"
,*,"0,0003971405878","0,00001724137931","0,001347708895"
,ê,"0,0009832841691","0,0009960159363","0,00001612903226"
,«,"0,0004096681688","0,0005952380952","0,00001492537313"
,»,"0,0004130524577","0,0005851375073","0,00001492537313"
,ç,"0,0004116920543","0,000496031746","0,000009090909091"
,É,"0,0003315649867","0,0001111111111","0,000009174311927"
,|,"0,0001666666667","0,000005780346821","0,0004389815628"
,̈,"0,0001428571429","0,00009090909091","0,000003703703704"
,–,"0,00004761904762","0,00002083333333","0,000003584229391"
,̃,"0,00004347826087","0,000003105590062","0,00004166666667"
,$,"0,000007092198582","0,000004444444444","0,0002"
,€,"0,00002","0,00001333333333","0,000003921568627"
,?,"0,0004011231448","0,000002222222222","0,0002679528403"
,…,"0,00004545454545","0,0002359603587","0,000002309468822"
,ù,"0,0001428571429","0,00003333333333","0,000001647446458"
,À,"0,00005","0,00005882352941","0,000001529051988"
,“,"0,00005555555556","0,00001818181818","0,000001060445387"
,œ,"0,00009090909091","0,00007692307692","0,000001"
,°,"0,00006666666667","0,00002380952381","0,000001"
,”,"0,00005555555556","0,00001818181818","0,000001"
,\,"0,00000641025641","0,000001","0,001218026797"
,{,"0,000005882352941","0,000001","0,004444444444"
,©,"0,00001315789474","0,000001773049645","0,000001672240803"
,—,"0,00005263157895","0,000125","0,0000005"
,´,"0,00005555555556","0,00001204819277","0,0000005"
,È,"0,00001639344262","0,000007575757576","0,0000005"
,Ê,"0,000003831417625","0,00001369863014","0,0000005"
,·,"0,000008771929825","0,000001","0,0000005"
,Ç,"0,000009433962264","0,00007142857143","0,00000025"
,®,"0,000001012145749","0,000001335113485","0,0000001666666667"
,>,"0,00003448275862","0,000000001000000001","0,005291005291"
,`,"0,00002777777778","0,000000001000000001","0,00001369863014"
,},"0,000008","0,000000001000000001","0,004444444444"
,<,"0,000006711409396","0,000000001000000001","0,004464285714"
,̄,"0,000009345794393","0,000001773049645","0,000000001000000001"
,̌,"0,00001041666667","0,000000001000000001","0,000001663893511"
,›,"0,00001587301587","0,000000001000000001","0,000001557632399"
,‘,"0,000004201680672","0,000001335113485","0,000000001000000001"
,̇,"0,000001798561151","0,000002222222222","0,000000001000000001"
,æ,"0,00000145137881","0,000001","0,000000001000000001"
,ß,"0,000001","0,000001","0,000000001000000001"
,×,"0,000002227171492","0,000000001000000001","0,00000025"
,̵,"0,0000001111111111","0,000008","0,000000001000000001"
,̊,"0,000002754820937","0,000000001000000001","0,0000001"
,∞,"0,000000125","0,000000001000000001","0,00000025"
,‹,"0,0000001428571429","0,000000001000000001","0,0000001"
,™,"0,0000001","0,000000001000000001","0,0000001"
,̆,"0,000002949852507","0,000000001000000001","0,000000001000000001"
,†,"0,000002159827214","0,000000001000000001","0,000000001000000001"
,§,"0,000002127659574","0,000000001000000001","0,000000001000000001"
,̧,"0,000001984126984","0,000000001000000001","0,000000001000000001"
,̨,"0,000001824817518","0,000000001000000001","0,000000001000000001"
,‑,"0,00000157480315","0,000000001000000001","0,000000001000000001"
,̦,"0,000001137656428","0,000000001000000001","0,000000001000000001"
,±,"0,000001","0,000000001000000001","0,000000001000000001"
,−,"0,000001","0,000000001000000001","0,000000001000000001"
,Œ,"0,000001","0,000000001000000001","0,000000001000000001"
,̋,"0,0000005","0,000000001000000001","0,000000001000000001"
,̣,"0,0000005","0,000000001000000001","0,000000001000000001"
,½,"0,0000003333333333","0,000000001000000001","0,000000001000000001"
,¡,"0,0000002","0,000000001000000001","0,000000001000000001"
,Æ,"0,0000002","0,000000001000000001","0,000000001000000001"
,¿,"0,0000001666666667","0,000000001000000001","0,000000001000000001"
,‰,"0,0000001666666667","0,000000001000000001","0,000000001000000001"
,£,"0,0000001666666667","0,000000001000000001","0,000000001000000001"
,̷,"0,0000001","0,000000001000000001","0,000000001000000001"
,̏,"0,0000001","0,000000001000000001","0,000000001000000001"
,̱,"0,0000001","0,000000001000000001","0,000000001000000001"
,‡,"0,0000001","0,000000001000000001","0,000000001000000001"
,÷,"0,0000001","0,000000001000000001","0,000000001000000001"
,≠,"0,0000001","0,000000001000000001","0,000000001000000001"
,√,"0,0000001","0,000000001000000001","0,000000001000000001"
,≃,"0,0000001","0,000000001000000001","0,000000001000000001"
,≤,"0,0000001","0,000000001000000001","0,000000001000000001"
,≥,"0,0000001","0,000000001000000001","0,000000001000000001"
,¼,"0,0000001","0,000000001000000001","0,000000001000000001"
,ẞ,"0,0000001","0,000000001000000001","0,000000001000000001"
,Ù,"0,0000001","0,000000001000000001","0,000000001000000001"
,ʒ,"0,0000001","0,000000001000000001","0,000000001000000001"
,Ʒ,"0,0000001","0,000000001000000001","0,000000001000000001"
,^,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,¦,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,~,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,¤,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,²,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,θ,"0,000000001000000001","0,000000001000000001","0,000000001000000001"
,μ,"0,000000001000000001","0,000000001000000001","0,000000001000000001"